Monitor,Ozone,Solar.R,Wind,Temp,Month,Day
B,11,44,9.7,62,5,20
B,1,8,9.7,59,5,21
B,11,320,16.6,73,5,22
B,4,25,9.7,61,5,23
B,32,92,12,61,5,24
B,NA,66,16.6,57,5,25
B,NA,266,14.9,58,5,26
B,NA,NA,8,57,5,27
B,23,13,12,67,5,28
B,45,252,14.9,81,5,29
B,115,223,5.7,79,5,30
B,37,279,7.4,76,5,31
B,NA,286,8.6,78,6,1
B,NA,287,9.7,74,6,2
B,NA,242,16.1,67,6,3
B,NA,186,9.2,84,6,4
B,NA,220,8.6,85,6,5
B,NA,264,14.3,79,6,6
B,29,127,9.7,82,6,7
B,NA,273,6.9,87,6,8
B,71,291,13.8,90,6,9
B,39,323,11.5,87,6,10
B,NA,259,10.9,93,6,11
B,NA,250,9.2,92,6,12
B,23,148,8,82,6,13
B,NA,332,13.8,80,6,14
B,NA,322,11.5,79,6,15
B,21,191,14.9,77,6,16
B,37,284,20.7,72,6,17
B,20,37,9.2,65,6,18
B,12,120,11.5,73,6,19
B,13,137,10.3,76,6,20
B,NA,150,6.3,77,6,21
B,NA,59,1.7,76,6,22
B,NA,91,4.6,76,6,23
B,NA,250,6.3,76,6,24
B,NA,135,8,75,6,25
B,NA,127,8,78,6,26
B,NA,47,10.3,73,6,27
B,NA,98,11.5,80,6,28
B,NA,31,14.9,77,6,29
B,NA,138,8,83,6,30
B,135,269,4.1,84,7,1
B,49,248,9.2,85,7,2
B,32,236,9.2,81,7,3
B,NA,101,10.9,84,7,4
B,64,175,4.6,83,7,5
B,40,314,10.9,83,7,6
B,77,276,5.1,88,7,7
B,97,267,6.3,92,7,8
B,97,272,5.7,92,7,9
B,85,175,7.4,89,7,10
B,NA,139,8.6,82,7,11
B,10,264,14.3,73,7,12
B,27,175,14.9,81,7,13
B,NA,291,14.9,91,7,14
B,7,48,14.3,80,7,15
B,48,260,6.9,81,7,16
B,35,274,10.3,82,7,17
B,61,285,6.3,84,7,18
B,79,187,5.1,87,7,19
B,63,220,11.5,85,7,20
B,16,7,6.9,74,7,21
B,NA,258,9.7,81,7,22
B,NA,295,11.5,82,7,23
B,80,294,8.6,86,7,24
B,108,223,8,85,7,25
B,20,81,8.6,82,7,26
B,52,82,12,86,7,27
B,82,213,7.4,88,7,28
B,50,275,7.4,86,7,29
B,64,253,7.4,83,7,30
B,59,254,9.2,81,7,31
B,39,83,6.9,81,8,1
B,9,24,13.8,81,8,2
B,16,77,7.4,82,8,3
B,78,NA,6.9,86,8,4
B,35,NA,7.4,85,8,5
B,66,NA,4.6,87,8,6
B,122,255,4,89,8,7
B,89,229,10.3,90,8,8
B,110,207,8,90,8,9
B,NA,222,8.6,92,8,10
B,NA,137,11.5,86,8,11
B,44,192,11.5,86,8,12
B,28,273,11.5,82,8,13
B,65,157,9.7,80,8,14
B,NA,64,11.5,79,8,15
B,22,71,10.3,77,8,16
B,59,51,6.3,79,8,17
B,23,115,7.4,76,8,18
B,31,244,10.9,78,8,19
B,44,190,10.3,78,8,20
B,21,259,15.5,77,8,21
B,9,36,14.3,72,8,22
B,NA,255,12.6,75,8,23
B,45,212,9.7,79,8,24
B,168,238,3.4,81,8,25
B,73,215,8,86,8,26
B,NA,153,5.7,88,8,27
B,76,203,9.7,97,8,28
B,118,225,2.3,94,8,29
B,84,237,6.3,96,8,30
B,85,188,6.3,94,8,31
B,96,167,6.9,91,9,1
B,78,197,5.1,92,9,2
B,73,183,2.8,93,9,3
B,91,189,4.6,93,9,4
B,47,95,7.4,87,9,5
B,32,92,15.5,84,9,6
B,20,252,10.9,80,9,7
B,23,220,10.3,78,9,8
B,21,230,10.9,75,9,9
B,24,259,9.7,73,9,10
B,44,236,14.9,81,9,11
B,21,259,15.5,76,9,12
B,28,238,6.3,77,9,13
B,9,24,10.9,71,9,14
B,13,112,11.5,71,9,15
B,46,237,6.9,78,9,16
B,18,224,13.8,67,9,17
B,13,27,10.3,76,9,18
B,24,238,10.3,68,9,19
B,16,201,8,82,9,20
B,13,238,12.6,64,9,21
B,23,14,9.2,71,9,22
B,36,139,10.3,81,9,23
B,7,49,10.3,69,9,24
B,14,20,16.6,63,9,25
B,30,193,6.9,70,9,26
B,NA,145,13.2,77,9,27
B,14,191,14.3,75,9,28
B,18,131,8,76,9,29
B,20,223,11.5,68,9,30
